BinCenter (ps),Histo01,Histo02,Histo03,Histo04
61350,5,7,0,0
61450,8,2,0,0
61550,7,9,0,0
61650,6,11,0,0
61750,6,5,0,0
61850,8,12,0,0
61950,10,5,0,0
62050,8,6,0,0
62150,5,8,0,0
62250,4,6,0,0
62350,10,4,0,0
62450,11,6,0,0
62550,7,5,0,0
62650,10,7,0,0
62750,9,13,0,0
62850,3,4,0,0
62950,5,8,0,0
63050,6,4,0,0
63150,3,9,0,0
63250,5,5,0,0
63350,6,7,0,0
63450,2,4,0,0
63550,6,7,0,0
63650,4,6,0,0
63750,7,3,0,0
63850,9,10,0,0
63950,6,8,0,0
64050,5,3,0,0
64150,6,5,0,0
64250,12,7,0,0
64350,9,7,0,0
64450,9,6,0,0
64550,16,7,0,0
64650,11,5,0,0
64750,19,3,0,0
64850,22,5,0,0
64950,20,4,0,0
65050,18,6,0,0
65150,30,6,0,0
65250,16,7,0,0
65350,13,8,0,0
65450,29,6,0,0
65550,18,3,0,0
65650,18,5,0,0
65750,21,9,0,0
65850,14,8,0,0
65950,14,4,0,0
66050,13,7,0,0
66150,17,10,0,0
66250,3,10,0,0
66350,11,7,0,0
66450,7,4,0,0
66550,3,14,0,0
66650,9,8,0,0
66750,4,8,0,0
66850,11,11,0,0
66950,6,5,0,0
67050,5,13,0,0
67150,6,21,0,0
67250,7,11,0,0
67350,7,8,0,0
67450,6,9,0,0
67550,3,39,0,0
67650,6,18,0,0
67750,4,9,0,0
67850,7,8,0,0
67950,9,49,0,0
68050,6,7,0,0
68150,4,6,0,0
68250,8,2,0,0
68350,6,14,0,0
68450,5,7,0,0
68550,6,7,0,0
68650,8,8,0,0
68750,4,10,0,0
68850,5,5,0,0
68950,3,8,0,0
69050,5,2,0,0
69150,4,10,0,0
69250,5,6,0,0
69350,4,3,0,0
69450,8,6,0,0
69550,6,7,0,0
69650,11,7,0,0
69750,8,7,0,0
69850,11,8,0,0
69950,7,5,0,0
70050,4,7,0,0
70150,6,10,0,0
70250,3,4,0,0
70350,3,5,0,0
70450,9,5,0,0
70550,7,7,0,0
70650,9,8,0,0
70750,4,7,0,0
70850,7,7,0,0
70950,10,8,0,0
71050,11,7,0,0
71150,5,11,0,0
71250,2,15,0,0
71350,7,4,0,0
71450,6,8,0,0
71550,6,23,0,0
71650,5,19,0,0
71750,5,5,0,0
71850,4,4,0,0
71950,7,18,0,0
72050,3,22,0,0
72150,7,7,0,0
72250,7,5,0,0
72350,12,11,0,0
72450,6,9,0,0
72550,7,3,0,0
72650,15,10,0,0
72750,1,6,0,0
72850,6,7,0,0
72950,15,6,0,0
73050,14,10,0,0
73150,6,7,0,0
73250,8,5,0,0
73350,7,8,0,0
73450,10,7,0,0
73550,3,5,0,0
73650,4,10,0,0
73750,16,8,0,0
73850,9,5,0,0
73950,6,7,0,0
74050,3,5,0,0
74150,9,8,0,0
74250,14,3,0,0
74350,7,5,0,0
74450,6,6,0,0
74550,2,7,0,0
74650,5,6,0,0
74750,6,7,0,0
74850,4,4,0,0
74950,8,7,0,0
75050,10,5,0,0
75150,3,7,0,0
75250,5,6,0,0
75350,7,3,0,0
75450,7,3,0,0
75550,10,9,0,0
75650,9,8,0,0
75750,6,4,0,0
75850,9,10,0,0
75950,3,6,0,0
76050,5,5,0,0
76150,9,5,0,0
76250,6,16,0,0
76350,3,8,0,0
76450,7,8,0,0
76550,5,7,0,0
76650,5,10,0,0
76750,4,6,0,0
76850,6,3,0,0
76950,4,6,0,0
77050,8,12,0,0
77150,6,6,0,0
77250,7,5,0,0
77350,5,8,0,0
77450,8,5,0,0
77550,7,6,0,0
77650,18,4,0,0
77750,15,3,0,0
77850,12,6,0,0
77950,5,8,0,0
78050,16,5,0,0
78150,26,7,0,0
78250,5,8,0,0
78350,6,6,0,0
78450,22,7,0,0
78550,24,7,0,0
78650,6,3,0,0
78750,7,4,0,0
78850,10,7,0,0
78950,17,9,0,0
79050,4,7,0,0
79150,4,4,0,0
79250,12,4,0,0
79350,7,6,0,0
79450,7,6,0,0
79550,6,6,0,0
79650,8,4,0,0
79750,8,5,0,0
79850,7,8,0,0
79950,6,5,0,0
80050,3,4,0,0
80150,2,11,0,0
80250,4,5,0,0
80350,4,5,0,0
80450,7,7,0,0
80550,4,5,0,0
80650,5,6,0,0
80750,7,5,0,0
80850,4,12,0,0
80950,4,6,0,0
81050,4,6,0,0
81150,7,4,0,0
81250,5,7,0,0
81350,4,9,0,0
81450,7,5,0,0
81550,4,7,0,0
81650,10,5,0,0
81750,11,5,0,0
81850,13,8,0,0
81950,9,6,0,0
82050,9,4,0,0
82150,58,3,0,0
82250,13,8,0,0
82350,8,5,0,0
82450,11,3,0,0
82550,49,10,0,0
82650,11,5,0,0
82750,7,10,0,0
82850,8,7,0,0
82950,16,5,0,0
83050,8,3,0,0
83150,7,10,0,0
83250,11,4,0,0
83350,6,6,0,0
83450,10,13,0,0
83550,13,1,0,0
83650,7,13,0,0
83750,4,6,0,0
83850,5,15,0,0
83950,11,8,0,0
84050,9,10,0,0
84150,6,16,0,0
84250,6,17,0,0
84350,11,16,0,0
84450,6,9,0,0
84550,6,31,0,0
84650,6,23,0,0
84750,6,21,0,0
84850,7,17,0,0
84950,2,21,0,0
85050,9,16,0,0
85150,5,16,0,0
85250,13,19,0,0
85350,9,18,0,0
85450,5,11,0,0
85550,7,9,0,0
85650,6,19,0,0
85750,7,7,0,0
85850,7,9,0,0
85950,4,6,0,0
86050,5,11,0,0
86150,6,4,0,0
86250,7,11,0,0
86350,6,3,0,0
86450,3,9,0,0
86550,5,4,0,0
86650,7,13,0,0
86750,12,6,0,0
86850,9,4,0,0
86950,4,4,0,0
87050,6,5,0,0
87150,9,5,0,0
87250,12,10,0,0
87350,8,7,0,0
87450,5,9,0,0
87550,4,5,0,0
87650,7,4,0,0
87750,6,7,0,0
87850,10,9,0,0
87950,7,5,0,0
88050,3,5,0,0
88150,7,4,0,0
88250,6,10,0,0
88350,7,4,0,0
88450,9,2,0,0
88550,2,5,0,0
88650,4,7,0,0
88750,3,10,0,0
88850,8,9,0,0
88950,4,11,0,0
89050,7,14,0,0
89150,5,6,0,0
89250,3,5,0,0
89350,1,9,0,0
89450,5,16,0,0
89550,6,5,0,0
89650,10,6,0,0
89750,6,10,0,0
89850,7,9,0,0
89950,4,5,0,0
90050,7,7,0,0
90150,6,3,0,0
90250,11,17,0,0
90350,5,3,0,0
90450,11,4,0,0
90550,8,9,0,0
90650,8,8,0,0
90750,9,5,0,0
90850,5,3,0,0
90950,3,10,0,0
91050,6,6,0,0
91150,4,7,0,0
91250,6,7,0,0
91350,10,14,0,0
91450,12,15,0,0
91550,8,8,0,0
91650,6,6,0,0
91750,10,12,0,0
91850,6,9,0,0
91950,8,22,0,0
92050,3,21,0,0
92150,6,28,0,0
92250,6,12,0,0
92350,4,23,0,0
92450,6,34,0,0
92550,14,46,0,0
92650,6,37,0,0
92750,6,26,0,0
92850,2,33,0,0
92950,4,51,0,0
93050,3,49,0,0
93150,6,28,0,0
93250,5,27,0,0
93350,6,32,0,0
93450,7,46,0,0
93550,186,21,0,0
93650,152,9,0,0
93750,11,13,0,0
93850,22,28,0,0
93950,837,18,0,0
94050,605,10,0,0
94150,9,7,0,0
94250,13,14,0,0
94350,760,7,0,0
94450,558,7,0,0
94550,11,3,0,0
94650,18,11,0,0
94750,808,10,0,0
94850,593,9,0,0
94950,14,11,0,0
95050,14,7,0,0
95150,223,5,0,0
95250,173,16,0,0
95350,6,5,0,0
95450,5,8,0,0
95550,7,7,0,0
95650,8,18,0,0
95750,8,4,0,0
95850,9,2,0,0
95950,9,6,0,0
96050,12,11,0,0
96150,3,3,0,0
96250,4,10,0,0
96350,0,6,0,0
96450,2,5,0,0
96550,11,5,0,0
96650,5,6,0,0
96750,6,9,0,0
96850,4,8,0,0
96950,6,2,0,0
97050,13,8,0,0
97150,9,8,0,0
97250,8,7,0,0
97350,4,6,0,0
97450,5,4,0,0
97550,3,2,0,0
97650,5,5,0,0
97750,5,6,0,0
97850,3,8,0,0
97950,3,7,0,0
98050,6,6,0,0
98150,4,9,0,0
98250,4,4,0,0
98350,5,5,0,0
98450,8,8,0,0
98550,11,9,0,0
98650,8,9,0,0
98750,10,5,0,0
98850,9,5,0,0
98950,3,4,0,0
99050,12,4,0,0
99150,10,3,0,0
99250,8,10,0,0
99350,9,5,0,0
99450,5,10,0,0
99550,8,7,0,0
99650,6,5,0,0
99750,5,8,0,0
99850,6,9,0,0
99950,6,10,0,0
